,address
1289,"Antioch, Contra Costa County, California, United States"
1294,"1054, Claudia Court, Antioch, Contra Costa County, California, 94509, United States"
1301,"1310, Putnam Street, Antioch, Contra Costa County, California, 94509, United States"
1305,"1310, Putnam Street, Antioch, Contra Costa County, California, 94509, United States"
1308,"Davison Drive, Antioch, Contra Costa County, California, 94509, United States"
1319,"Pittsburg Civic Center, Davi Avenue, Pittsburg, Contra Costa County, California, 94565, United States"
1325,"3918, Meadowbrook Circle, Pittsburg, Contra Costa County, California, 94565, United States"
1330,"4198, Sandra Circle, Pittsburg, Contra Costa County, California, 94565, United States"
1334,"3498, Crestview Drive, Pittsburg, Contra Costa County, California, 94565, United States"
1336,"Delta De Anza Regional Trail, Pittsburg, Contra Costa County, California, 94565, United States"
1339,"197, Lois Avenue, Pittsburg, Contra Costa County, California, 94565, United States"
1340,"Delta View Golf Course, West Leland Road, Pittsburg, Contra Costa County, California, 94565, United States"
1347,"Re Masters, Willow Pass Road, River View Mobile Home Park, Pittsburg, Contra Costa County, California, 94565, United States"
1348,"CA 4, Pittsburg, Contra Costa County, California, 94565, United States"
1352,"Nichols, Bay Point, Contra Costa County, California, United States"
1354,"KVHS-FM (Concord), Nichols Road, United Sportsmen, Contra Costa County, California, United States"
1369,"Meadowlark Ridge Loop, Vine Hill, Contra Costa County, California, 94553, United States"
1408,"Northwood Circle, Concord, Contra Costa County, California, 94520, United States"
1556,"71, Duberstein Drive, San Ramon, Contra Costa County, California, 94583, United States"
1601,"1509, Rockledge Lane, Rossmoor, Walnut Creek, Contra Costa County, California, 94595, United States"
1630,"Lone Tree Golf Course, Royal Links Court, Antioch, Contra Costa County, California, 94509, United States"
1708,"Walmart, 1400, Hilltop Mall Road, Hilltop Mall, Richmond, Contra Costa County, California, 94806, United States"
1709,"Richmond Parkway & Lakeside Drive, Richmond Parkway, Richmond, Contra Costa County, California, 94806, United States"
1720,"Contra Costa College, 2600, Mission Bell Drive, San Pablo, Contra Costa County, California, 94806, United States"
1724,"Eastshore Freeway, Richmond, Contra Costa County, California, 94806, United States"
1770,"1003, Roosevelt Avenue, Iron Triangle, Richmond, Contra Costa County, California, 94801, United States"
1780,"129, South 1st Street, Atchison Village, Richmond, Contra Costa County, California, 94801, United States"
1798,"945, South 53rd Street, El Cerrito, Contra Costa County, California, 94530, United States"
1814,"2095, Key Boulevard, El Cerrito, Contra Costa County, California, 94530, United States"
1839,"263, Amber Lane, Del Norte County, California, 95531, United States"
1841,"Del Norte County, California, United States"
1842,"Crescent City, Del Norte County, California, 95531, United States"
1868,"El Dorado County, California, United States"
1870,"3009, Pasadena Avenue, Al Tahoe, South Lake Tahoe, El Dorado County, California, 96150, United States"
1876,"2550, Rose Avenue, South Lake Tahoe, El Dorado County, California, 96150, United States"
1881,"922, Linda Avenue, Tahoe Valley, South Lake Tahoe, El Dorado County, California, 96150, United States"
1895,"Dardanelles Trail, El Dorado County, California, United States"
1914,"El Dorado County, California, United States"
1965,"El Dorado County, California, United States"
1966,"Leoni Road, Caldor, El Dorado County, California, United States"
1975,"1283, South Modoc Street, Fresno, Fresno County, California, 93706, United States"
1978,"783, H Street, Fresno, Fresno County, California, 93721, United States"
1979,"C Street, Fresno, Fresno County, California, 93721, United States"
1982,"1283, South Modoc Street, Fresno, Fresno County, California, 93706, United States"
1983,"3257, East Lyell Avenue, Fresno, Fresno County, California, 93702, United States"
1986,"3257, East Lyell Avenue, Fresno, Fresno County, California, 93702, United States"
1997,"West Lyman Avenue, Fresno, Fresno County, California, 93728, United States"
1999,"701, West Atchison Avenue, Fresno, Fresno County, California, 93706, United States"
2000,"1524, West Oleander Avenue, Fresno, Fresno County, California, 93706, United States"
2001,"West California Avenue, Fresno, Fresno County, California, 93721, United States"
2004,"Rutherford B. Gaston Middle School, Martin Luther King Junior Boulevard, Fresno, Fresno County, California, 93721, United States"
2011,"2177, South Railroad Avenue, Fresno, Fresno County, California, 93721, United States"
2014,"4716, East Byrd Avenue, Fresno, Fresno County, California, 93725, United States"
2015,"3888, North Barton Square, Calwa, Fresno County, California, 93725, United States"
2016,"PG and E-Fresno Service Center Heliport, East Pitt Avenue, Calwa, Fresno County, California, 93702, United States"
2017,"Lane Elementary School, East Lowe Avenue, Fresno, Fresno County, California, 93702, United States"
2018,"Balderas Elementary School, East Florence Avenue, Fresno, Fresno County, California, 93702, United States"
2020,"3865, East Lyell Avenue, Fresno, Fresno County, California, 93702, United States"
2023,"Lane Elementary School, East Lowe Avenue, Fresno, Fresno County, California, 93702, United States"
2024,"East Belmont Avenue, Fresno, Fresno County, California, 93727, United States"
2027,"East Belmont Avenue, Fresno, Fresno County, California, 93727, United States"
2028,"6646, East Butler Avenue, Fresno, Fresno County, California, 93727, United States"
2029,"5830, East Rancho Drive, Fresno County, California, 93727, United States"
2031,"5804, East Byrd Avenue, Fresno, Fresno County, California, 93727, United States"
2035,"South Peach Avenue, Fresno, Fresno County, California, 93727, United States"
2037,"East Butler Avenue, Fresno, Fresno County, California, 93727, United States"
2038,"5370, East Liberty Avenue, Fresno, Fresno County, California, 93727, United States"
2041,"Konkel Junior High School, South Front Avenue, Malaga, Fresno County, California, 93725, United States"
2044,"6668, East Lincoln Avenue, Fresno County, California, 93625, United States"
2047,"113, North 7th Street, Fowler, Fresno County, California, 93625, United States"
2050,"3490, East South Avenue, Fresno County, California, 93725, United States"
2051,"3365, East Dinuba Avenue, Fresno County, California, 93725, United States"
2053,"506, Willamette Avenue, Fresno County, California, 93706, United States"
2059,"CA 180, Fresno County, California, 93778, United States"
2062,"489, North Delno Avenue, Fresno, Fresno County, California, 93706, United States"
2065,"1329, North Safford Avenue, Fresno, Fresno County, California, 93728, United States"
2066,"1329, North Safford Avenue, Fresno, Fresno County, California, 93728, United States"
2072,"1329, North Safford Avenue, Fresno, Fresno County, California, 93728, United States"
2077,"1733, East Hedges Avenue, Fresno, Fresno County, California, 93703, United States"
2078,"2637, East Hedges Avenue, Fresno, Fresno County, California, 93703, United States"
2081,"2637, East Hedges Avenue, Fresno, Fresno County, California, 93703, United States"
2083,"East Belmont Avenue, Fresno, Fresno County, California, 93701, United States"
2086,"1326, North Fisher Street, Fresno, Fresno County, California, 93703, United States"
2088,"East Belmont Avenue, Fresno, Fresno County, California, 93701, United States"
2091,"3257, East Huntington Boulevard, Fresno, Fresno County, California, 93702, United States"
2092,"East Belmont Avenue, Fresno, Fresno County, California, 93701, United States"
2093,"East Belmont Avenue, Fresno, Fresno County, California, 93701, United States"
2094,"4718, East Belmont Avenue, Sunnyside, Fresno, Fresno County, California, 93702, United States"
2096,"374, South Barton Avenue, Fresno, Fresno County, California, 93702, United States"
2097,"473, North Barton Avenue, Fresno, Fresno County, California, 93702, United States"
2098,"473, North Barton Avenue, Fresno, Fresno County, California, 93702, United States"
2103,"5156, East Belmont Avenue, Sunnyside, Fresno, Fresno County, California, 93727, United States"
2104,"East Leisure Avenue, Fresno, Fresno County, California, 93727, United States"
2105,"5156, East Belmont Avenue, Sunnyside, Fresno, Fresno County, California, 93727, United States"
2107,"4942, East Belmont Avenue, Sunnyside, Fresno, Fresno County, California, 93727, United States"
2111,"Old Town Trail, Clovis, Fresno County, California, 93612, United States"
2112,"3428, Minnewawa Avenue, Clovis, Fresno County, California, 93727, United States"
2114,"2886, Fine Avenue, Clovis, Fresno County, California, 93612, United States"
2116,"West Indianapolis Avenue, Clovis, Fresno County, California, 93612, United States"
2117,"35, West Indianapolis Avenue, Clovis, Fresno County, California, 93612, United States"
2118,"35, West Indianapolis Avenue, Clovis, Fresno County, California, 93612, United States"
2119,"Acorn Canyon, Clovis, Fresno County, California, 93612, United States"
2120,"Old Town Trail, Clovis, Fresno County, California, 93612, United States"
2121,"35, West Indianapolis Avenue, Clovis, Fresno County, California, 93612, United States"
2122,"West Indianapolis Avenue, Clovis, Fresno County, California, 93612, United States"
2123,"2886, Fine Avenue, Clovis, Fresno County, California, 93612, United States"
2125,"Violet Heintz Education Center, East Yale Avenue, Fresno, Fresno County, California, 93727, United States"
2126,"Zion Congregational Church, East Yale Avenue, Fresno, Fresno County, California, 93703, United States"
2127,"2169, North Barton Avenue, Fresno, Fresno County, California, 93703, United States"
2131,"3624, Arden Drive West, Fresno County, California, 93703, United States"
2132,"3624, Arden Drive West, Fresno County, California, 93703, United States"
2134,"East Shields Avenue, Fresno, Fresno County, California, 93703, United States"
2137,"North Augusta Street, Fresno, Fresno County, California, 93703, United States"
2139,"1739, East Cambridge Avenue, Fresno, Fresno County, California, 93703, United States"
2140,"876, East Yale Avenue, Fresno, Fresno County, California, 93704, United States"
2142,"Manchester Mall, East Dayton Avenue, Fresno, Fresno County, California, 93726, United States"
2143,"1739, East Cambridge Avenue, Fresno, Fresno County, California, 93703, United States"
2144,"172, East Andrews Avenue, Fresno, Fresno County, California, 93704, United States"
2145,"172, East Yale Avenue, Fresno, Fresno County, California, 93704, United States"
2147,"172, East Yale Avenue, Fresno, Fresno County, California, 93704, United States"
2148,"172, East Andrews Avenue, Fresno, Fresno County, California, 93704, United States"
2149,"3281, North Delno Avenue, Fresno, Fresno County, California, 93705, United States"
2150,"701, West Yale Avenue, Fresno, Fresno County, California, 93705, United States"
2151,"701, West Yale Avenue, Fresno, Fresno County, California, 93705, United States"
2152,"1603, West Yale Avenue, Fresno, Fresno County, California, 93705, United States"
2153,"1603, West Yale Avenue, Fresno, Fresno County, California, 93705, United States"
2154,"1611, West Andrews Avenue, Fresno, Fresno County, California, 93705, United States"
2155,"Fresno, Fresno County, California, United States"
2156,"Fresno, Fresno County, California, United States"
2157,"Fresno County, California, 93722-6200, United States"
2158,"4346, West Shields Avenue, Fresno, Fresno County, California, 93722, United States"
2159,"3299, West Andrews Avenue, Fresno, Fresno County, California, 93722, United States"
2160,"Fresno, Fresno County, California, 93705, United States"
2162,"2277, North Carol Avenue, Fresno, Fresno County, California, 93722, United States"
2164,"Fresno Fire Department Station #19, West Belmont Avenue, Fresno, Fresno County, California, 93778, United States"
2165,"North Blythe Avenue, Fresno, Fresno County, California, 93705, United States"
2173,"Fresno County, California, United States"
2176,"Ashli Avenue, Kerman, Fresno County, California, United States"
2178,"343, North del Norte Avenue, Fresno County, California, 93630, United States"
2181,"H Street, Biola, Fresno County, California, United States"
2182,"Fresno County, California, United States"
2186,"4370, West Sierra Avenue, Fresno, Fresno County, California, 93722, United States"
2187,"3252, West Sierra Avenue, Fresno, Fresno County, California, 93711, United States"
2188,"3252, West Sierra Avenue, Fresno, Fresno County, California, 93711, United States"
2189,"North Santa Fe Avenue, Figarden, Fresno, Fresno County, California, 93722-6200, United States"
2190,"3246, West Roberts Avenue, Fresno, Fresno County, California, 93711, United States"
2191,"3246, West Roberts Avenue, Fresno, Fresno County, California, 93711, United States"
2192,"3246, West Roberts Avenue, Fresno, Fresno County, California, 93711, United States"
2193,"4698, West Sierra Avenue, Fresno, Fresno County, California, 93722, United States"
2194,"Walmart Supercenter, 3680, West Shaw Avenue, Fresno, Fresno County, California, 93711, United States"
2195,"5112, North Blythe Avenue, Fresno, Fresno County, California, 93722, United States"
2196,"Fresno, Fresno County, California, 93711, United States"
2197,"3368, West Indianapolis Avenue, Fresno, Fresno County, California, 93722, United States"
2198,"3368, West Indianapolis Avenue, Fresno, Fresno County, California, 93722, United States"
2199,"West Gettysburg Avenue, Fresno, Fresno County, California, 93722-6200, United States"
2201,"7167, North Lead Avenue, Fresno, Fresno County, California, 93711, United States"
2202,"7161, North Pleasant Avenue, Fresno, Fresno County, California, 93711, United States"
2203,"2600, West Sierra Avenue, Fresno, Fresno County, California, 93711, United States"
2204,"2100, West Sierra Avenue, Fresno, Fresno County, California, 93711, United States"
2205,"1523, West Sierra Avenue, Fresno, Fresno County, California, 93711, United States"
2207,"1523, West Sierra Avenue, Fresno, Fresno County, California, 93711, United States"
2209,"5692, North Hamlet Lane, Fresno, Fresno County, California, 93711, United States"
2210,"1517, West Roberts Avenue, Fresno, Fresno County, California, 93711, United States"
2211,"1517, West Keats Avenue, Fresno, Fresno County, California, 93711, United States"
2212,"5063, North Pleasant Avenue, Fresno, Fresno County, California, 93711, United States"
2213,"8524, North Colfax Avenue, Fresno, Fresno County, California, 93720, United States"
2214,"728, East Trenton Avenue, Fresno, Fresno County, California, 93720, United States"
2215,"7501, North Bond Avenue, Fresno, Fresno County, California, 93720, United States"
2216,"7042, North Bond Avenue, Fresno, Fresno County, California, 93720, United States"
2219,"Fresno, Fresno County, California, United States"
2221,"Macy's, East Nees Avenue, Fresno, Fresno County, California, 93720, United States"
2222,"North Blackstone Avenue, Fresno, Fresno County, California, 93720-2920, United States"
2224,"Gravel Haul Road, Fresno, Fresno County, California, 93650, United States"
2225,"1473, West Locust Avenue, Fresno, Fresno County, California, 93711, United States"
2228,"1073, West Sierra Avenue, Fresno, Fresno County, California, 93711, United States"
2229,"445, East Sierra Avenue, Fresno, Fresno County, California, 93710, United States"
2230,"McDonald's, North Blackstone Avenue, Fresno, Fresno County, California, 93720-2920, United States"
2231,"431, West Sierra Avenue, Fresno, Fresno County, California, 93704, United States"
2236,"5086, North Harrison Avenue, Fresno County, California, 93711, United States"
2237,"4529, North Maroa Avenue, Fresno, Fresno County, California, 93704, United States"
2238,"Wawona Middle School, East Gettysburg Avenue, Fresno County, California, 93704, United States"
2239,"4571, North Holt Avenue, Fresno, Fresno County, California, 93705, United States"
2241,"Wawona Middle School, East Gettysburg Avenue, Fresno County, California, 93704, United States"
2242,"4571, North Holt Avenue, Fresno, Fresno County, California, 93705, United States"
2243,"4453, North Emerson Avenue, Fresno, Fresno County, California, 93705, United States"
2245,"1621, West Griffith Way, Fresno, Fresno County, California, 93705, United States"
2246,"1611, West Andrews Avenue, Fresno, Fresno County, California, 93705, United States"
2248,"2489, West Griffith Way, Fresno, Fresno County, California, 93705, United States"
2250,"172, East Andrews Avenue, Fresno, Fresno County, California, 93704, United States"
2251,"172, East Andrews Avenue, Fresno, Fresno County, California, 93704, United States"
2252,"3281, North Delno Avenue, Fresno, Fresno County, California, 93705, United States"
2253,"West Sussex Way, Fresno, Fresno County, California, 93705, United States"
2255,"3991, North Safford Avenue, Fresno County, California, 93704, United States"
2257,"Manchester Mall, East Dayton Avenue, Fresno, Fresno County, California, 93726, United States"
2258,"876, East Andrews Avenue, Fresno, Fresno County, California, 93704, United States"
2259,"3991, North Safford Avenue, Fresno County, California, 93704, United States"
2260,"874, East Griffith Way, Fresno, Fresno County, California, 93704, United States"
2261,"North Blackstone Avenue, Fresno, Fresno County, California, 93704, United States"
2265,"3999, North 3rd Street, Fresno, Fresno County, California, 93726, United States"
2267,"1770, East Griffith Way, Fresno, Fresno County, California, 93726, United States"
2269,"2618, East Griffith Way, Fresno, Fresno County, California, 93726, United States"
2272,"3999, North 3rd Street, Fresno, Fresno County, California, 93726, United States"
2273,"3836, East Pontiac Way, Fresno, Fresno County, California, 93726, United States"
2276,"3853, East Donner Avenue, Fresno, Fresno County, California, 93726, United States"
2277,"East Gettysburg Avenue, Fresno, Fresno County, California, 93740, United States"
2278,"4552, North Anna Street, Fresno, Fresno County, California, 93726, United States"
2285,"Wolters Elementary School, North 2nd Street, Fresno, Fresno County, California, 93740, United States"
2287,"Wolters Elementary School, North 2nd Street, Fresno, Fresno County, California, 93740, United States"
2288,"445, East Sierra Avenue, Fresno, Fresno County, California, 93710, United States"
2289,"6392, North 8th Street, Fresno, Fresno County, California, 93710, United States"
2290,"6392, North 8th Street, Fresno, Fresno County, California, 93710, United States"
2291,"1087, East Sierra Avenue, Fresno, Fresno County, California, 93710, United States"
2292,"1087, East Sierra Avenue, Fresno, Fresno County, California, 93710, United States"
2293,"6392, North 8th Street, Fresno, Fresno County, California, 93710, United States"
2294,"2099, East Sierra Avenue, Fresno, Fresno County, California, 93710, United States"
2295,"2735, East Sierra Avenue, Fresno, Fresno County, California, 93710, United States"
2297,"1799, East Pryor Drive, Fresno, Fresno County, California, 93720, United States"
2300,"East Behymer Avenue, Fresno County, California, 93730, United States"
2304,"Old town clovis trail, Old Town Trail, Clovis, Fresno County, California, 93611, United States"
2305,"Old Town Trail, Clovis, Fresno County, California, 93612, United States"
2306,"Old Town Trail, Clovis, Fresno County, California, 93612, United States"
2309,"3359, East Sierra Avenue, Fresno, Fresno County, California, 93710, United States"
2313,"476, West Keats Avenue, Clovis, Fresno County, California, 93612, United States"
2314,"Sierra Freeway, Clovis, Fresno County, California, 93612, United States"
2316,"Cedar Drive, Clovis, Fresno County, California, 93612, United States"
2317,"1st Street, Clovis, Fresno County, California, 93611, United States"
2318,"1st Street, Clovis, Fresno County, California, 93611, United States"
2319,"1st Street, Clovis, Fresno County, California, 93611, United States"
2320,"2344, Sierra Avenue, Clovis, Fresno County, California, 93611, United States"
2321,"2344, Sierra Avenue, Clovis, Fresno County, California, 93611, United States"
2322,"1832, Tenaya Avenue, Clovis, Fresno County, California, 93611, United States"
2323,"2263, Wrenwood Avenue, Clovis, Fresno County, California, 93611, United States"
2324,"2336, Dawson Cove Lane, Clovis, Fresno County, California, 93611, United States"
2325,"1896, Keats Avenue, Clovis, Fresno County, California, 93611, United States"
2327,"1447, Browning Avenue, Clovis, Fresno County, California, 93611, United States"
2328,"1896, Keats Avenue, Clovis, Fresno County, California, 93611, United States"
2330,"1448, Keats Avenue, Clovis, Fresno County, California, 93611, United States"
2331,"2870, Laverne Avenue, Clovis, Fresno County, California, 93611, United States"
2332,"1427, Donner Avenue, Clovis, Fresno County, California, 93611, United States"
2333,"2865, Holly Avenue, Clovis, Fresno County, California, 93611, United States"
2334,"1415, Griffith Avenue, Clovis, Fresno County, California, 93611, United States"
2335,"1415, Griffith Avenue, Clovis, Fresno County, California, 93611, United States"
2336,"East Clinton Avenue, Fresno, Fresno County, California, 93737, United States"
2337,"1415, Griffith Avenue, Clovis, Fresno County, California, 93611, United States"
2338,"East Clinton Avenue, Fresno, Fresno County, California, 93737, United States"
2345,"11615, East Sierra Avenue, Fresno County, California, 93619, United States"
2347,"East California Avenue, Fresno County, California, 93657-4001, United States"
2348,"North Smith Avenue, Centerville, Fresno County, California, 93657, United States"
2349,"South Fairbanks Avenue, Sanger, Fresno County, California, 93657-4001, United States"
2350,"1542, 4th Street, Sanger, Fresno County, California, 93657, United States"
2351,"1542, 4th Street, Sanger, Fresno County, California, 93657, United States"
2353,"Sanger, Fresno County, California, 93657-4001, United States"
2354,"Washington Academic Middle School, 11th Street, Sanger, Fresno County, California, 93657-4001, United States"
2355,"996, Annadale Avenue, Sanger, Fresno County, California, 93657, United States"
2356,"Sanger, Fresno County, California, 93657-4001, United States"
2357,"Sanger, Fresno County, California, 93657-4001, United States"
2358,"East North Avenue, Sanger, Fresno County, California, 93657-4001, United States"
2360,"2467, South Lewis Lane, Fresno County, California, 93657, United States"
2361,"926, 5th Street, Sanger, Fresno County, California, 93657, United States"
2362,"East California Avenue, Sanger, Fresno County, California, 93657, United States"
2363,"Fresno County, California, United States"
2366,"7204, South Buttonwillow Avenue, Fresno County, California, 93654, United States"
2368,"21718, East Dinuba Avenue, Reedley, Fresno County, California, 93654, United States"
2375,"Kaiser Loop Trail, Lakeshore, Fresno County, California, 93634, United States"
2376,"Hobbler Lake Trail, Fresno County, California, United States"
2381,"Hume Lake Trail, Hume, Fresno County, California, 93628, United States"
2390,"8563, South Buttonwillow Avenue, Reedley, Fresno County, California, 93654, United States"
2393,"1400, 9th Street, Reedley, Fresno County, California, 93654, United States"
2394,"Reedley College, Reedley Community Parkway, Reedley, Fresno County, California, 93654, United States"
2395,"8523, North Columbia Avenue, Reedley, Fresno County, California, 93654, United States"
2397,"799, South Columbia Avenue, Reedley, Fresno County, California, 93654, United States"
2400,"Reedley, Fresno County, California, 93654, United States"
2402,"Cyrier Avenue, Reedley, Fresno County, California, 93654, United States"
2403,"Reedley Buddhist Church, 15th Street, Reedley, Fresno County, California, 93654, United States"
2404,"East Industrial Drive, Parlier, Fresno County, California, United States"
2407,"16104, East South Avenue, Parlier, Fresno County, California, 93648, United States"
2409,"South Zediker Avenue, Parlier, Fresno County, California, 93631, United States"
2415,"3061, South Thompson Avenue, Selma, Fresno County, California, 93662, United States"
2417,"Orange Avenue, Selma, Fresno County, California, 93662, United States"
2418,"1863, Aspen Street, Selma, Fresno County, California, 93662, United States"
2419,"3853, South Thompson Avenue, Selma, Fresno County, California, 93662, United States"
2421,"1269, Redwood Lane, Selma, Fresno County, California, 93662, United States"
2428,"1907, Thompson Avenue, Selma, Fresno County, California, 93662, United States"
2430,"2500, Tamarack Court, Kingsburg, Fresno County, California, 93631, United States"
2433,"659, Roosevelt Street, Kingsburg, Fresno County, California, 93631, United States"
2434,"1600, Union Street, Kingsburg, Fresno County, California, 93631, United States"
2435,"Fresno County, California, United States"
2436,"South Willow Avenue, Fresno County, California, United States"
2441,"East Riverdale Avenue, Laton, Fresno County, California, United States"
2442,"18960, South Fowler Avenue, Laton, Fresno County, California, 93242, United States"
2448,"13489, South Henderson Road, Caruthers, Fresno County, California, 93609, United States"
2455,"2935, West Mount Whitney Avenue, Camden, Riverdale, Fresno County, California, 93656, United States"
2456,"West Harlan Avenue, Fresno County, California, 93656, United States"
2458,"South Lassen Avenue, Huron, Fresno County, California, United States"
2463,"South Monterey Avenue, Fresno County, California, United States"
2465,"Fresno County, California, United States"
2466,"700, Elm Avenue, Coalinga, Fresno County, California, 93210, United States"
2467,"402, Dartmouth Avenue, Coalinga, Fresno County, California, 93210, United States"
2470,"Coalinga, Fresno County, California, United States"
2472,"5700, Juanche Street, Tranquillity, Fresno County, California, 93668, United States"
2474,"8561, South 7th Street, San Joaquin, Fresno County, California, 93660, United States"
2476,"West Elkhorn Avenue, Fresno County, California, United States"
2479,"West Side Freeway, Fresno County, California, United States"
2485,"13th Street, Firebaugh, Fresno County, California, United States"
2487,"1736, Corregidor Avenue, Firebaugh, Fresno County, California, 93622, United States"
2488,"First Lift Canal, Firebaugh, Fresno County, California, United States"
2490,"West Herndon Avenue, Fresno County, California, 93622, United States"
2491,"1299, Gilroy Street, Kingsburg, Fresno County, California, 93631, United States"
2495,"4371, County Road N, Glenn County, California, 95963, United States"
2496,"77, South Street, Orland, Glenn County, California, 95963, United States"
2497,"Glenn County, California, United States"
2498,"4803, County Road N, Glenn County, California, 95963, United States"
2500,"County Road M, Glenn County, California, 95963-9817, United States"
2502,"Glenn County, California, United States"
2503,"Glenn County, California, United States"
2504,"County Road P, Orland Airport Industrial Park, Glenn County, California, 95963-9817, United States"
2505,"Glenn County, California, United States"
2506,"Glenn County, California, United States"
2507,"639, 4th Street, Willows, Glenn County, California, 95988, United States"
2512,"Elm Street, Willows, Glenn County, California, 95988, United States"
2513,"Highway 99W, Willows, Glenn County, California, 95988, United States"
2514,"Mills Orchard, Glenn County, California, United States"
2518,"199, Walsh Avenue, Hamilton City, Glenn County, California, 95951, United States"
2531,"3161, I Street, Eureka, Humboldt County, California, 95503, United States"
2534,"Eureka Mall Region, Eureka, Humboldt County, California, 95502, United States"
2535,"Eureka Mall Region, Eureka, Humboldt County, California, 95502, United States"
2537,"Elk River, Humboldt County, California, United States"
2538,"Eureka Municipal Golf Course, Fairway Drive, Eureka, Humboldt County, California, 95503, United States"
2539,"Broadway Street, Highland Park, Bucksport, Eureka, Humboldt County, California, 95564, United States"
2541,"1387, Bay Street, Eureka, Humboldt County, California, 95501, United States"
2547,"3161, I Street, Eureka, Humboldt County, California, 95503, United States"
2549,"1835, Heather Lane, Eureka, Humboldt County, California, 95501, United States"
2550,"3228, Harrison Avenue, Eureka, Humboldt County, California, 95503, United States"
2552,"2072, Simmons Road, Humboldt County, California, 95503, United States"
2553,"3101, R Street, Eureka, Humboldt County, California, 95503, United States"
2557,"3323, Edgewood Road, Myrtletown, Humboldt County, California, 95501, United States"
2558,"3323, Edgewood Road, Myrtletown, Humboldt County, California, 95501, United States"
2573,"Humboldt County, California, United States"
2579,"Humboldt County, California, United States"
2587,"Humboldt County, California, United States"
2594,"Morris Elementary School, McKinleyville Avenue, Fisher, McKinleyville, Humboldt County, California, 95519, United States"
2596,"Greenacres Road, McKinleyville, Humboldt County, California, 95519, United States"
